PDX	Mouse	ERCC1FPKM	CancerType	Treatment	Day	TV
ES0026	1	17.2033	ES	Vehicle	0	192
ES0026	1	17.2033	ES	Vehicle	4	266
ES0026	1	17.2033	ES	Vehicle	7	287
ES0026	1	17.2033	ES	Vehicle	11	332
ES0026	1	17.2033	ES	Vehicle	14	378
ES0026	1	17.2033	ES	Vehicle	18	493
ES0026	1	17.2033	ES	Vehicle	21	511
ES0026	2	17.2033	ES	Vehicle	0	143
ES0026	2	17.2033	ES	Vehicle	4	239
ES0026	2	17.2033	ES	Vehicle	7	293
ES0026	2	17.2033	ES	Vehicle	11	384
ES0026	2	17.2033	ES	Vehicle	14	412
ES0026	2	17.2033	ES	Vehicle	18	511
ES0026	2	17.2033	ES	Vehicle	21	549
ES0026	3	17.2033	ES	Vehicle	0	289
ES0026	3	17.2033	ES	Vehicle	4	338
ES0026	3	17.2033	ES	Vehicle	7	409
ES0026	3	17.2033	ES	Vehicle	11	641
ES0026	3	17.2033	ES	Vehicle	14	791
ES0026	3	17.2033	ES	Vehicle	18	1028
ES0026	3	17.2033	ES	Vehicle	21	1154
ES0026	4	17.2033	ES	Vehicle	0	216
ES0026	4	17.2033	ES	Vehicle	4	324
ES0026	4	17.2033	ES	Vehicle	7	376
ES0026	4	17.2033	ES	Vehicle	11	549
ES0026	4	17.2033	ES	Vehicle	14	635
ES0026	4	17.2033	ES	Vehicle	18	880
ES0026	4	17.2033	ES	Vehicle	21	1005
ES0026	5	17.2033	ES	Vehicle	0	194
ES0026	5	17.2033	ES	Vehicle	4	294
ES0026	5	17.2033	ES	Vehicle	7	319
ES0026	5	17.2033	ES	Vehicle	11	505
ES0026	5	17.2033	ES	Vehicle	14	624
ES0026	5	17.2033	ES	Vehicle	18	731
ES0026	5	17.2033	ES	Vehicle	21	741
ES0026	6	17.2033	ES	Vehicle	0	246
ES0026	6	17.2033	ES	Vehicle	4	306
ES0026	6	17.2033	ES	Vehicle	7	372
ES0026	6	17.2033	ES	Vehicle	11	406
ES0026	6	17.2033	ES	Vehicle	14	512
ES0026	6	17.2033	ES	Vehicle	18	616
ES0026	6	17.2033	ES	Vehicle	21	728
ES0026	7	17.2033	ES	Vehicle	0	161
ES0026	7	17.2033	ES	Vehicle	4	335
ES0026	7	17.2033	ES	Vehicle	7	421
ES0026	7	17.2033	ES	Vehicle	11	649
ES0026	7	17.2033	ES	Vehicle	14	924
ES0026	7	17.2033	ES	Vehicle	18	1328
ES0026	7	17.2033	ES	Vehicle	21	1736
ES0026	8	17.2033	ES	Vehicle	0	127
ES0026	8	17.2033	ES	Vehicle	4	217
ES0026	8	17.2033	ES	Vehicle	7	270
ES0026	8	17.2033	ES	Vehicle	11	318
ES0026	8	17.2033	ES	Vehicle	14	320
ES0026	8	17.2033	ES	Vehicle	18	499
ES0026	8	17.2033	ES	Vehicle	21	523
ES0110	9	13.1314	ES	Vehicle	0	233
ES0110	9	13.1314	ES	Vehicle	3	281
ES0110	9	13.1314	ES	Vehicle	6	490
ES0110	9	13.1314	ES	Vehicle	10	764
ES0110	9	13.1314	ES	Vehicle	15	1052
ES0110	9	13.1314	ES	Vehicle	17	1126
ES0110	9	13.1314	ES	Vehicle	21	1724
ES0110	10	13.1314	ES	Vehicle	0	209
ES0110	10	13.1314	ES	Vehicle	3	194
ES0110	10	13.1314	ES	Vehicle	6	205
ES0110	10	13.1314	ES	Vehicle	10	486
ES0110	10	13.1314	ES	Vehicle	15	712
ES0110	10	13.1314	ES	Vehicle	17	780
ES0110	10	13.1314	ES	Vehicle	21	911
ES0110	11	13.1314	ES	Vehicle	0	120
ES0110	11	13.1314	ES	Vehicle	3	106
ES0110	11	13.1314	ES	Vehicle	6	177
ES0110	11	13.1314	ES	Vehicle	10	236
ES0110	11	13.1314	ES	Vehicle	15	477
ES0110	11	13.1314	ES	Vehicle	17	389
ES0110	11	13.1314	ES	Vehicle	21	564
ES0110	12	13.1314	ES	Vehicle	0	166
ES0110	12	13.1314	ES	Vehicle	3	149
ES0110	12	13.1314	ES	Vehicle	6	245
ES0110	12	13.1314	ES	Vehicle	10	362
ES0110	12	13.1314	ES	Vehicle	15	661
ES0110	12	13.1314	ES	Vehicle	17	779
ES0110	12	13.1314	ES	Vehicle	21	727
ES0110	13	13.1314	ES	Vehicle	0	240
ES0110	13	13.1314	ES	Vehicle	3	268
ES0110	13	13.1314	ES	Vehicle	6	583
ES0110	13	13.1314	ES	Vehicle	10	766
ES0110	13	13.1314	ES	Vehicle	15	1197
ES0110	13	13.1314	ES	Vehicle	17	1017
ES0110	13	13.1314	ES	Vehicle	21	868
ES0110	14	13.1314	ES	Vehicle	0	285
ES0110	14	13.1314	ES	Vehicle	3	385
ES0110	14	13.1314	ES	Vehicle	6	547
ES0110	14	13.1314	ES	Vehicle	10	1181
ES0110	14	13.1314	ES	Vehicle	15	1241
ES0110	14	13.1314	ES	Vehicle	17	1634
ES0110	14	13.1314	ES	Vehicle	21	2169
ES0110	15	13.1314	ES	Vehicle	0	270
ES0110	15	13.1314	ES	Vehicle	3	409
ES0110	15	13.1314	ES	Vehicle	6	525
ES0110	15	13.1314	ES	Vehicle	10	959
ES0110	15	13.1314	ES	Vehicle	15	1266
ES0110	15	13.1314	ES	Vehicle	17	1266
ES0110	15	13.1314	ES	Vehicle	21	1711
ES0110	16	13.1314	ES	Vehicle	0	168
ES0110	16	13.1314	ES	Vehicle	3	145
ES0110	16	13.1314	ES	Vehicle	6	270
ES0110	16	13.1314	ES	Vehicle	10	456
ES0110	16	13.1314	ES	Vehicle	15	759
ES0110	16	13.1314	ES	Vehicle	17	781
ES0110	16	13.1314	ES	Vehicle	21	1153
ES0136	17	35.3239	ES	Vehicle	0	240
ES0136	17	35.3239	ES	Vehicle	3	226
ES0136	17	35.3239	ES	Vehicle	7	337
ES0136	17	35.3239	ES	Vehicle	10	430
ES0136	17	35.3239	ES	Vehicle	14	549
ES0136	17	35.3239	ES	Vehicle	17	824
ES0136	17	35.3239	ES	Vehicle	21	1159
ES0136	18	35.3239	ES	Vehicle	0	176
ES0136	18	35.3239	ES	Vehicle	3	300
ES0136	18	35.3239	ES	Vehicle	7	392
ES0136	18	35.3239	ES	Vehicle	10	494
ES0136	18	35.3239	ES	Vehicle	14	876
ES0136	18	35.3239	ES	Vehicle	17	1192
ES0136	18	35.3239	ES	Vehicle	21	1663
ES0136	19	35.3239	ES	Vehicle	0	286
ES0136	19	35.3239	ES	Vehicle	3	516
ES0136	19	35.3239	ES	Vehicle	7	486
ES0136	19	35.3239	ES	Vehicle	10	589
ES0136	19	35.3239	ES	Vehicle	14	1113
ES0136	19	35.3239	ES	Vehicle	17	1517
ES0136	19	35.3239	ES	Vehicle	21	2133
ES0136	20	35.3239	ES	Vehicle	0	142
ES0136	20	35.3239	ES	Vehicle	3	152
ES0136	20	35.3239	ES	Vehicle	7	143
ES0136	20	35.3239	ES	Vehicle	10	186
ES0136	20	35.3239	ES	Vehicle	14	264
ES0136	20	35.3239	ES	Vehicle	17	307
ES0136	20	35.3239	ES	Vehicle	21	365
ES0136	21	35.3239	ES	Vehicle	0	242
ES0136	21	35.3239	ES	Vehicle	3	325
ES0136	21	35.3239	ES	Vehicle	7	576
ES0136	21	35.3239	ES	Vehicle	10	546
ES0136	21	35.3239	ES	Vehicle	14	885
ES0136	21	35.3239	ES	Vehicle	17	1086
ES0136	21	35.3239	ES	Vehicle	21	2320
ES0136	22	35.3239	ES	Vehicle	0	313
ES0136	22	35.3239	ES	Vehicle	3	457
ES0136	22	35.3239	ES	Vehicle	7	607
ES0136	22	35.3239	ES	Vehicle	10	781
ES0136	22	35.3239	ES	Vehicle	14	1026
ES0136	22	35.3239	ES	Vehicle	17	1284
ES0136	22	35.3239	ES	Vehicle	21	2088
ES0136	23	35.3239	ES	Vehicle	0	107
ES0136	23	35.3239	ES	Vehicle	3	242
ES0136	23	35.3239	ES	Vehicle	7	433
ES0136	23	35.3239	ES	Vehicle	10	556
ES0136	23	35.3239	ES	Vehicle	14	804
ES0136	23	35.3239	ES	Vehicle	17	1040
ES0136	23	35.3239	ES	Vehicle	21	996
ES0136	24	35.3239	ES	Vehicle	0	209
ES0136	24	35.3239	ES	Vehicle	3	227
ES0136	24	35.3239	ES	Vehicle	7	298
ES0136	24	35.3239	ES	Vehicle	10	374
ES0136	24	35.3239	ES	Vehicle	14	561
ES0136	24	35.3239	ES	Vehicle	17	809
ES0136	24	35.3239	ES	Vehicle	21	984
ES0172	25	28.9538	ES	Vehicle	0	133
ES0172	25	28.9538	ES	Vehicle	3	160
ES0172	25	28.9538	ES	Vehicle	7	185
ES0172	25	28.9538	ES	Vehicle	10	177
ES0172	25	28.9538	ES	Vehicle	14	255
ES0172	25	28.9538	ES	Vehicle	17	313
ES0172	25	28.9538	ES	Vehicle	21	364
ES0172	26	28.9538	ES	Vehicle	0	277
ES0172	26	28.9538	ES	Vehicle	3	555
ES0172	26	28.9538	ES	Vehicle	7	552
ES0172	26	28.9538	ES	Vehicle	10	660
ES0172	26	28.9538	ES	Vehicle	14	334
ES0172	26	28.9538	ES	Vehicle	17	363
ES0172	27	28.9538	ES	Vehicle	0	128
ES0172	27	28.9538	ES	Vehicle	3	160
ES0172	27	28.9538	ES	Vehicle	7	202
ES0172	27	28.9538	ES	Vehicle	10	214
ES0172	27	28.9538	ES	Vehicle	14	349
ES0172	27	28.9538	ES	Vehicle	17	360
ES0172	27	28.9538	ES	Vehicle	21	337
ES0172	28	28.9538	ES	Vehicle	0	203
ES0172	28	28.9538	ES	Vehicle	3	400
ES0172	28	28.9538	ES	Vehicle	7	419
ES0172	28	28.9538	ES	Vehicle	10	460
ES0172	28	28.9538	ES	Vehicle	14	472
ES0172	28	28.9538	ES	Vehicle	17	496
ES0172	28	28.9538	ES	Vehicle	21	591
ES0172	29	28.9538	ES	Vehicle	0	189
ES0172	29	28.9538	ES	Vehicle	3	241
ES0172	29	28.9538	ES	Vehicle	7	321
ES0172	29	28.9538	ES	Vehicle	10	350
ES0172	29	28.9538	ES	Vehicle	14	382
ES0172	29	28.9538	ES	Vehicle	17	557
ES0172	29	28.9538	ES	Vehicle	21	515
ES0172	30	28.9538	ES	Vehicle	0	99
ES0172	30	28.9538	ES	Vehicle	3	152
ES0172	30	28.9538	ES	Vehicle	7	185
ES0172	30	28.9538	ES	Vehicle	10	159
ES0172	30	28.9538	ES	Vehicle	14	225
ES0172	30	28.9538	ES	Vehicle	17	249
ES0172	30	28.9538	ES	Vehicle	21	262
ES0172	31	28.9538	ES	Vehicle	0	231
ES0172	31	28.9538	ES	Vehicle	3	335
ES0172	31	28.9538	ES	Vehicle	7	327
ES0172	31	28.9538	ES	Vehicle	10	475
ES0172	31	28.9538	ES	Vehicle	14	594
ES0172	31	28.9538	ES	Vehicle	17	611
ES0172	31	28.9538	ES	Vehicle	21	789
ES0172	32	28.9538	ES	Vehicle	0	164
ES0172	32	28.9538	ES	Vehicle	3	197
ES0172	32	28.9538	ES	Vehicle	7	193
ES0172	32	28.9538	ES	Vehicle	10	207
ES0172	32	28.9538	ES	Vehicle	14	507
ES0172	32	28.9538	ES	Vehicle	17	531
ES0172	32	28.9538	ES	Vehicle	21	510
ES0178	33	56.8366	ES	Vehicle	0	260
ES0178	33	56.8366	ES	Vehicle	3	346
ES0178	33	56.8366	ES	Vehicle	7	547
ES0178	33	56.8366	ES	Vehicle	10	652
ES0178	33	56.8366	ES	Vehicle	14	571
ES0178	33	56.8366	ES	Vehicle	17	460
ES0178	33	56.8366	ES	Vehicle	21	473
ES0178	34	56.8366	ES	Vehicle	0	344
ES0178	34	56.8366	ES	Vehicle	3	454
ES0178	34	56.8366	ES	Vehicle	7	620
ES0178	34	56.8366	ES	Vehicle	10	631
ES0178	34	56.8366	ES	Vehicle	14	680
ES0178	34	56.8366	ES	Vehicle	17	737
ES0178	34	56.8366	ES	Vehicle	21	655
ES0178	35	56.8366	ES	Vehicle	0	280
ES0178	35	56.8366	ES	Vehicle	3	280
ES0178	35	56.8366	ES	Vehicle	7	406
ES0178	35	56.8366	ES	Vehicle	10	570
ES0178	35	56.8366	ES	Vehicle	14	822
ES0178	35	56.8366	ES	Vehicle	17	866
ES0178	35	56.8366	ES	Vehicle	21	1026
ES0178	36	56.8366	ES	Vehicle	0	170
ES0178	36	56.8366	ES	Vehicle	3	306
ES0178	36	56.8366	ES	Vehicle	7	296
ES0178	36	56.8366	ES	Vehicle	10	310
ES0178	36	56.8366	ES	Vehicle	14	374
ES0178	36	56.8366	ES	Vehicle	17	552
ES0178	36	56.8366	ES	Vehicle	21	613
ES0178	37	56.8366	ES	Vehicle	0	229
ES0178	37	56.8366	ES	Vehicle	3	289
ES0178	37	56.8366	ES	Vehicle	7	296
ES0178	37	56.8366	ES	Vehicle	10	384
ES0178	37	56.8366	ES	Vehicle	14	250
ES0178	37	56.8366	ES	Vehicle	17	242
ES0178	37	56.8366	ES	Vehicle	21	286
ES0178	38	56.8366	ES	Vehicle	0	164
ES0178	38	56.8366	ES	Vehicle	3	280
ES0178	38	56.8366	ES	Vehicle	7	285
ES0178	38	56.8366	ES	Vehicle	10	528
ES0178	38	56.8366	ES	Vehicle	14	407
ES0178	38	56.8366	ES	Vehicle	17	457
ES0178	38	56.8366	ES	Vehicle	21	597
ES0178	39	56.8366	ES	Vehicle	0	71
ES0178	39	56.8366	ES	Vehicle	3	104
ES0178	39	56.8366	ES	Vehicle	7	118
ES0178	39	56.8366	ES	Vehicle	10	106
ES0178	39	56.8366	ES	Vehicle	14	129
ES0178	39	56.8366	ES	Vehicle	17	124
ES0178	39	56.8366	ES	Vehicle	21	164
ES0178	40	56.8366	ES	Vehicle	0	270
ES0178	40	56.8366	ES	Vehicle	3	313
ES0178	40	56.8366	ES	Vehicle	7	405
ES0178	40	56.8366	ES	Vehicle	10	536
ES0178	40	56.8366	ES	Vehicle	14	575
ES0178	40	56.8366	ES	Vehicle	17	714
ES0178	40	56.8366	ES	Vehicle	21	814
ES0189	41	50.2666	ES	Vehicle	0	360
ES0189	41	50.2666	ES	Vehicle	3	600
ES0189	41	50.2666	ES	Vehicle	7	885
ES0189	41	50.2666	ES	Vehicle	10	1110
ES0189	41	50.2666	ES	Vehicle	14	1204
ES0189	41	50.2666	ES	Vehicle	17	1339
ES0189	41	50.2666	ES	Vehicle	21	1477
ES0189	42	50.2666	ES	Vehicle	0	226
ES0189	42	50.2666	ES	Vehicle	3	325
ES0189	42	50.2666	ES	Vehicle	7	423
ES0189	42	50.2666	ES	Vehicle	10	471
ES0189	42	50.2666	ES	Vehicle	14	652
ES0189	42	50.2666	ES	Vehicle	17	636
ES0189	42	50.2666	ES	Vehicle	21	622
ES0189	43	50.2666	ES	Vehicle	0	176
ES0189	43	50.2666	ES	Vehicle	3	219
ES0189	43	50.2666	ES	Vehicle	7	317
ES0189	43	50.2666	ES	Vehicle	10	370
ES0189	43	50.2666	ES	Vehicle	14	716
ES0189	43	50.2666	ES	Vehicle	17	764
ES0189	43	50.2666	ES	Vehicle	21	987
ES0189	44	50.2666	ES	Vehicle	0	110
ES0189	44	50.2666	ES	Vehicle	3	161
ES0189	44	50.2666	ES	Vehicle	7	227
ES0189	44	50.2666	ES	Vehicle	10	389
ES0189	44	50.2666	ES	Vehicle	14	549
ES0189	44	50.2666	ES	Vehicle	17	633
ES0189	44	50.2666	ES	Vehicle	21	828
ES0189	45	50.2666	ES	Vehicle	0	202
ES0189	45	50.2666	ES	Vehicle	3	233
ES0189	45	50.2666	ES	Vehicle	7	368
ES0189	45	50.2666	ES	Vehicle	10	426
ES0189	45	50.2666	ES	Vehicle	14	500
ES0189	45	50.2666	ES	Vehicle	17	564
ES0189	45	50.2666	ES	Vehicle	21	658
ES0189	46	50.2666	ES	Vehicle	0	141
ES0189	46	50.2666	ES	Vehicle	3	192
ES0189	46	50.2666	ES	Vehicle	7	267
ES0189	46	50.2666	ES	Vehicle	10	384
ES0189	46	50.2666	ES	Vehicle	14	367
ES0189	46	50.2666	ES	Vehicle	17	420
ES0189	46	50.2666	ES	Vehicle	21	445
ES0189	47	50.2666	ES	Vehicle	0	293
ES0189	47	50.2666	ES	Vehicle	3	403
ES0189	47	50.2666	ES	Vehicle	7	587
ES0189	47	50.2666	ES	Vehicle	10	659
ES0189	47	50.2666	ES	Vehicle	14	1146
ES0189	47	50.2666	ES	Vehicle	17	1474
ES0189	47	50.2666	ES	Vehicle	21	1379
ES0189	48	50.2666	ES	Vehicle	0	111
ES0189	48	50.2666	ES	Vehicle	3	157
ES0189	48	50.2666	ES	Vehicle	7	206
ES0189	48	50.2666	ES	Vehicle	10	252
ES0189	48	50.2666	ES	Vehicle	14	338
ES0189	48	50.2666	ES	Vehicle	17	408
ES0189	48	50.2666	ES	Vehicle	21	441
ES0190	49	30.8532	ES	Vehicle	0	248
ES0190	49	30.8532	ES	Vehicle	6	318
ES0190	49	30.8532	ES	Vehicle	9	364
ES0190	49	30.8532	ES	Vehicle	13	455
ES0190	49	30.8532	ES	Vehicle	16	490
ES0190	49	30.8532	ES	Vehicle	20	675
ES0190	49	30.8532	ES	Vehicle	23	960
ES0190	50	30.8532	ES	Vehicle	0	219
ES0190	50	30.8532	ES	Vehicle	6	368
ES0190	50	30.8532	ES	Vehicle	9	385
ES0190	50	30.8532	ES	Vehicle	13	478
ES0190	50	30.8532	ES	Vehicle	16	605
ES0190	50	30.8532	ES	Vehicle	20	738
ES0190	50	30.8532	ES	Vehicle	23	797
ES0190	51	30.8532	ES	Vehicle	0	104
ES0190	51	30.8532	ES	Vehicle	6	191
ES0190	51	30.8532	ES	Vehicle	9	194
ES0190	51	30.8532	ES	Vehicle	13	201
ES0190	51	30.8532	ES	Vehicle	16	281
ES0190	51	30.8532	ES	Vehicle	20	319
ES0190	51	30.8532	ES	Vehicle	23	446
ES0190	52	30.8532	ES	Vehicle	0	154
