PDX	time	censoring	cancertype	treatment
ES0026	21.00	0	ES	Cisplatin
ES0026	21.00	0	ES	Cisplatin
ES0026	21.00	0	ES	Cisplatin
ES0026	20.83	1	ES	Cisplatin
ES0026	20.73	1	ES	Cisplatin
ES0026	21.00	0	ES	Cisplatin
ES0026	14.00	1	ES	Cisplatin
ES0026	21.00	0	ES	Cisplatin
ES0110	21.00	0	ES	Cisplatin
ES0110	21.00	0	ES	Cisplatin
ES0110	14.83	1	ES	Cisplatin
ES0110	21.00	0	ES	Cisplatin
ES0110	20.43	1	ES	Cisplatin
ES0110	21.00	0	ES	Cisplatin
ES0110	21.00	0	ES	Cisplatin
ES0110	20.23	1	ES	Cisplatin
ES0136	21.00	0	ES	Cisplatin
ES0136	20.31	1	ES	Cisplatin
ES0136	21.00	0	ES	Cisplatin
ES0136	21.00	0	ES	Cisplatin
ES0136	21.00	0	ES	Cisplatin
ES0136	21.00	0	ES	Cisplatin
ES0136	21.00	0	ES	Cisplatin
ES0136	21.00	0	ES	Cisplatin
ES0172	21.00	0	ES	Cisplatin
ES0172	21.00	0	ES	Cisplatin
ES0172	21.00	0	ES	Cisplatin
ES0172	21.00	0	ES	Cisplatin
ES0172	21.00	0	ES	Cisplatin
ES0172	21.00	0	ES	Cisplatin
ES0172	21.00	0	ES	Cisplatin
ES0172	21.00	0	ES	Cisplatin
ES0178	21.00	0	ES	Cisplatin
ES0178	21.00	0	ES	Cisplatin
ES0178	21.00	0	ES	Cisplatin
ES0178	21.00	0	ES	Cisplatin
ES0178	21.00	0	ES	Cisplatin
ES0178	21.00	0	ES	Cisplatin
ES0178	20.80	1	ES	Cisplatin
ES0178	21.00	0	ES	Cisplatin
ES0189	21.00	0	ES	Cisplatin
ES0189	21.00	0	ES	Cisplatin
ES0189	21.00	0	ES	Cisplatin
ES0189	21.00	0	ES	Cisplatin
ES0189	21.00	0	ES	Cisplatin
ES0189	21.00	0	ES	Cisplatin
ES0189	21.00	0	ES	Cisplatin
ES0189	21.00	0	ES	Cisplatin
ES0190	23.00	0	ES	Cisplatin
ES0190	23.00	0	ES	Cisplatin
ES0190	23.00	0	ES	Cisplatin
ES0190	23.00	0	ES	Cisplatin
ES0190	23.00	0	ES	Cisplatin
ES0190	23.00	0	ES	Cisplatin
ES0190	23.00	0	ES	Cisplatin
ES0190	23.00	0	ES	Cisplatin
ES0195	22.00	0	ES	Cisplatin
ES0195	22.00	0	ES	Cisplatin
ES0195	18.47	1	ES	Cisplatin
ES0195	22.00	0	ES	Cisplatin
ES0195	22.00	0	ES	Cisplatin
ES0195	22.00	0	ES	Cisplatin
