Group,Temp ID,Animal ID,Sex,Code,Day,9,12,15,19,22,26,29,33,36
01,12,12,F,TV-S,27,56.64,125.13,410.98,818.95,1204.13,2012.07,,,
01,29,29,F,TV-S,34,55.84,98.83,178.14,415.09,596.99,994.61,1589.28,2436.07,
01,33,33,F,TS,36,50.20,96.99,117.99,233.44,466.42,827.65,1151.29,1288.08,1334.21
01,60,60,F,TV-S,30,65.94,92.29,207.03,378.25,626.98,1062.04,2015.88,,
01,62,62,F,TV-S,30,51.32,105.04,142.05,346.12,729.68,1694.88,3200.60,,
01,78,78,F,TS,36,75.35,104.42,160.57,405.98,645.29,875.81,1175.76,1792.87,2412.77
01,83,83,F,TS,36,88.92,92.81,145.49,316.83,419.67,584.82,822.53,1360.89,1841.78
01,107,107,F,TS,36,75.78,91.95,158.60,361.77,585.23,903.85,1334.65,1792.40,2603.67
01,113,113,F,TS,36,45.46,78.41,128.61,305.00,495.46,557.72,1376.17,1698.82,1837.84
01,119,119,F,TV-S,34,61.88,114.53,218.49,419.05,440.11,1154.31,1426.78,2777.90,
02,20,20,F,TS,37,73.53,119.08,183.00,367.39,477.17,735.55,1455.66,1751.10,2605.12
02,25,25,F,TV-S,30,57.95,135.81,180.18,458.99,749.88,1322.75,2185.99,,
02,32,32,F,TV-S,34,55.03,84.11,118.34,328.27,581.70,793.40,1289.43,2023.50,
02,57,57,F,TS,37,51.76,81.46,73.05,240.21,466.56,732.53,1203.31,1663.56,2378.06
02,58,58,F,TS,37,44.09,73.71,106.38,320.32,531.85,656.31,910.58,1424.05,1946.40
02,68,68,F,TV-S,34,91.46,150.09,220.26,407.12,684.65,1019.14,1891.27,2412.31,
02,156,156,F,TV-S,27,57.23,143.73,186.86,502.67,1624.01,2576.66,,,
02,170,170,F,TV-S,34,76.69,108.46,131.84,484.04,641.62,1044.53,1397.08,2203.04,
02,205,205,F,TV-S,34,50.29,69.35,105.53,415.47,645.07,1015.23,1598.92,2880.09,
02,218,218,F,TV-S,34,63.48,99.43,139.46,310.54,602.80,1119.69,1927.68,2821.86,
03,05,05,F,TS,37,44.30,76.98,85.34,223.80,385.01,532.43,989.00,1557.26,2570.72
03,37,37,F,TV-S,30,64.21,120.29,166.99,320.54,651.61,1014.70,2108.91,,
03,67,67,F,TS,37,50.10,86.01,112.55,240.65,401.93,608.71,983.40,1656.83,2533.84
03,98,98,F,TV-S,34,86.93,113.94,224.65,388.69,589.58,1134.32,1910.53,3013.40,
03,104,104,F,TS,37,51.19,57.71,142.37,253.64,347.88,549.56,680.22,1266.09,1576.39
03,128,128,F,TV-S,30,78.28,133.74,261.27,540.01,1105.63,1252.88,2058.98,,
03,132,132,F,TV-S,34,56.35,91.68,212.68,341.17,628.27,832.69,1852.01,2774.59,
03,230,230,F,TV-S,30,55.98,90.74,143.79,325.91,584.33,1148.03,2275.29,,
03,238,238,F,TS,37,72.99,82.59,117.61,300.82,426.25,752.66,1327.00,1826.23,3072.17
03,248,248,F,TV-S,27,64.11,135.71,176.88,699.41,1414.25,2967.15,,,
04,19,19,F,TS,37,50.06,87.15,114.14,126.08,221.07,438.20,433.91,785.79,1057.43
04,80,80,F,TV-S,34,76.47,88.84,132.43,294.67,513.75,815.46,1445.28,2003.48,
04,116,116,F,TS,37,73.99,134.71,161.85,284.64,347.51,419.38,697.90,1029.82,1214.59
04,160,160,F,TS,37,89.39,120.49,107.97,349.31,491.21,566.71,820.05,1257.35,1560.68
04,161,161,F,TS,37,50.66,69.37,81.34,147.81,136.61,174.40,308.25,663.00,1021.90
