mouse,Group,Treatment,PGday,TV
1,5,LC-PBS,0,59.47
1,5,LC-PBS,4,218.45
1,5,LC-PBS,7,427.22
1,5,LC-PBS,11,1278.07
1,5,LC-PBS,14,1655.99
2,5,LC-PBS,0,67.32
2,5,LC-PBS,4,211.29
2,5,LC-PBS,7,304
2,5,LC-PBS,11,1137.44
2,5,LC-PBS,14,1939.58
3,5,LC-PBS,0,67.98
3,5,LC-PBS,4,195.41
3,5,LC-PBS,7,248.71
3,5,LC-PBS,11,546.97
3,5,LC-PBS,14,1013.45
4,5,LC-PBS,0,86.87
4,5,LC-PBS,4,134.17
4,5,LC-PBS,7,157.05
4,5,LC-PBS,11,185.96
4,5,LC-PBS,14,196.61
5,5,LC-PBS,0,56.64
5,5,LC-PBS,4,105.62
5,5,LC-PBS,7,145.3
5,5,LC-PBS,11,804.13
5,5,LC-PBS,14,960.07
6,6,LC-cD7A8,0,57.97
6,6,LC-cD7A8,4,77.82
6,6,LC-cD7A8,7,100.47
6,6,LC-cD7A8,11,110.98
6,6,LC-cD7A8,14,132.91
7,6,LC-cD7A8,0,69.17
7,6,LC-cD7A8,4,117.44
7,6,LC-cD7A8,7,254.63
7,6,LC-cD7A8,11,273.83
7,6,LC-cD7A8,14,658.53
8,6,LC-cD7A8,0,75.63
8,6,LC-cD7A8,4,121.67
8,6,LC-cD7A8,7,160.67
8,6,LC-cD7A8,11,882.85
8,6,LC-cD7A8,14,1882.99
9,6,LC-cD7A8,0,62.82
9,6,LC-cD7A8,4,315.85
9,6,LC-cD7A8,7,466.74
9,6,LC-cD7A8,11,482.62
9,6,LC-cD7A8,14,510.34
10,6,LC-cD7A8,0,54.9
10,6,LC-cD7A8,4,160.79
10,6,LC-cD7A8,7,206.58
10,6,LC-cD7A8,11,264.71
10,6,LC-cD7A8,14,226.98
11,7,LC-BMS,0,67.7
11,7,LC-BMS,4,238.77
11,7,LC-BMS,7,330.97
11,7,LC-BMS,11,650.27
11,7,LC-BMS,14,1009.4
12,7,LC-BMS,0,59.17
12,7,LC-BMS,4,124.74
12,7,LC-BMS,7,178.51
12,7,LC-BMS,11,178.9
12,7,LC-BMS,14,106.66
13,7,LC-BMS,0,51.63
13,7,LC-BMS,4,188.42
13,7,LC-BMS,7,395.04
13,7,LC-BMS,11,1402.47
13,7,LC-BMS,14,1734.95
14,7,LC-BMS,0,73.17
14,7,LC-BMS,4,297.48
14,7,LC-BMS,7,606.92
14,7,LC-BMS,11,1386.68
14,7,LC-BMS,14,1601.41
15,7,LC-BMS,0,84.84
15,7,LC-BMS,4,282.37
15,7,LC-BMS,7,355.77
15,7,LC-BMS,11,501.03
15,7,LC-BMS,14,845.31
16,8,LC-BMS-10mpk,0,63.69
16,8,LC-BMS-10mpk,4,194.81
16,8,LC-BMS-10mpk,7,495.03
16,8,LC-BMS-10mpk,11,827.24
16,8,LC-BMS-10mpk,14,1005.52
17,8,LC-BMS-10mpk,0,85.85
17,8,LC-BMS-10mpk,4,156.57
17,8,LC-BMS-10mpk,7,243.59
17,8,LC-BMS-10mpk,11,469.32
17,8,LC-BMS-10mpk,14,619.56
18,8,LC-BMS-10mpk,0,62.62
18,8,LC-BMS-10mpk,4,125.85
18,8,LC-BMS-10mpk,7,232.42
18,8,LC-BMS-10mpk,11,1150.19
18,8,LC-BMS-10mpk,14,1361.77
19,8,LC-BMS-10mpk,0,68.18
19,8,LC-BMS-10mpk,4,121.29
19,8,LC-BMS-10mpk,7,219.82
19,8,LC-BMS-10mpk,11,590.85
19,8,LC-BMS-10mpk,14,714.26
20,8,LC-BMS-10mpk,0,54.64
20,8,LC-BMS-10mpk,4,124.11
20,8,LC-BMS-10mpk,7,180.48
20,8,LC-BMS-10mpk,11,728.15
20,8,LC-BMS-10mpk,14,859.8
21,9,LC-BMS-20mpk,0,51.65
21,9,LC-BMS-20mpk,4,109.01
21,9,LC-BMS-20mpk,7,170.97
21,9,LC-BMS-20mpk,11,280.87
21,9,LC-BMS-20mpk,14,488.2
22,9,LC-BMS-20mpk,0,58.51
22,9,LC-BMS-20mpk,4,126.71
22,9,LC-BMS-20mpk,7,206.18
22,9,LC-BMS-20mpk,11,189.93
22,9,LC-BMS-20mpk,14,146.9
23,9,LC-BMS-20mpk,0,69.17
23,9,LC-BMS-20mpk,4,347.69
23,9,LC-BMS-20mpk,7,571.14
23,9,LC-BMS-20mpk,11,858.38
23,9,LC-BMS-20mpk,14,1284.28
24,9,LC-BMS-20mpk,0,67.14
24,9,LC-BMS-20mpk,4,126.55
24,9,LC-BMS-20mpk,7,256.04
24,9,LC-BMS-20mpk,11,328.51
24,9,LC-BMS-20mpk,14,487.6
25,9,LC-BMS-20mpk,0,85.77
25,9,LC-BMS-20mpk,4,188.88
25,9,LC-BMS-20mpk,7,273.85
25,9,LC-BMS-20mpk,11,552.31
25,9,LC-BMS-20mpk,14,1144.33
